"orden","ruta","tipo","clasificación_g8","estado_o_tratamiento","fundamento","tamaño_bytes","sha256"
"1",".github/workflows/quality.yml","Configuración YAML","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","2092","6832afa158858e2b128ea2d471a229b5f6f93900a5a2d977dee8913188468ac2"
"2",".gitignore","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","161","ca8c66597c5b3c622e4c5af3e758511298049c7093d1129bcd9541cb6a839c6c"
"3",".gitleaks.toml","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","284","933a1067b0a2bd38a3962b4180eccad175fb6e368d32129118d6bd7d72ff93d9"
"4",".node-version","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","8","5b9d0e73029969ae9000117cb877f17bb9841c1279bfe8024e294acfcf017800"
"5",".npmrc","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","37","3a951f66e7e0f3e2dd1832473a871357c4a507b51100636b73bcf6ff0dd78b6c"
"6",".nvmrc","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","8","5b9d0e73029969ae9000117cb877f17bb9841c1279bfe8024e294acfcf017800"
"7",".prettierignore","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","220","89feeb8415c0eeeea1b98180947d976d411d55bb9709f157a1d405bc242f6e50"
"8","CHANGELOG.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","2021","a9254a1a901951335bc49aa5fb99b98ad0984dd132039b8ed8f64e1801d7501f"
"9","LICENSE","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1070","6539f2a36b4eaacc71de0ecf4f45a1bd2153798a5dd911a142a6d4b5ca3f835c"
"10","README.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","10773","a41a04ad68c01b19ef8311a472d7fcd8da1883cd7f1553288bef58095c0d1a6d"
"11","VALORES.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7346","759c41418cc9f1d58cb43dcc76c0424fbeb5920d1e1cbbf85a9345819f84b13c"
"12","apps/web/README.md","Documento Markdown","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","506","9e75c1cda61f7529aa0d30a854a1f26cbc5fef6b172387bd91644238b2abed03"
"13","apps/web/index.html","Documento HTML","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","383","ff378afc87878ed4b706e6e0e7732c1525c253898fe51e1495f4dbe185f4c424"
"14","apps/web/package.json","Configuración JSON","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","374","fdca3200716404e66a7f868d9288aad9b6baf0623d7d98989847d5f2eb47648d"
"15","apps/web/src/App.tsx","Código TSX","Fundación web G7 protegida","Sin cambios respecto del corte de entrada","Fuera del delta G8; modificación prohibida","197","17f26c54b34da9d52caa376879ddac96cc043726c037f5d93f1d0d630ac94ffa"
