"orden","ruta","tipo","clasificación_g1","código","título","versión","estado_o_tratamiento","fundamento","tamaño_bytes","sha256"
"1","apps/web/.gitignore","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/.gitignore","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","253","fe718e7babb14f3cbad2d97f08889b9ce5215ed3fe0e43b2b8cfbfb3b9b844e8"
"2","apps/web/.oxlintrc.json","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/.oxlintrc.json","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","245","b4d344818a1e1bf43997e4744a9153c8eef770c98b58229cd86363dabb85ded4"
"3","apps/web/index.html","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/index.html","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","355","35a1f7492e6123c7528484243faf21e3b64c378d06ac35edf6e083558a308af0"
"4","apps/web/package.json","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/package.json","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","523","f74e9a0a30723d23f10d1ca2564f92f94260f0f873a1df3f6df21623ea2babda"
"5","apps/web/pnpm-lock.yaml","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/pnpm-lock.yaml","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","26278","19140dec0db3521ed566d5291c9818d124ccca5b8229b7b1d0de3fe1b0c4b61a"
"6","apps/web/public/favicon.svg","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/public/favicon.svg","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","9522","61bc9a161de58248288e6905425d7180f0624c2865007b97d763fdac12043a66"
"7","apps/web/public/icons.svg","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/public/icons.svg","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","5031","b45fa506195cfcdef406ba9f0c77b36ddc1a7c224040926ec70abc2fdea7b93a"
"8","apps/web/README.md","Documento de aplicación","Spike histórico reemplazable","No aplica","apps/web/README.md","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","1278","fa8aac78b8be1993010b57f41000a243ecba006f6731513fe4ec91e788bf2517"
"9","apps/web/src/App.tsx","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/App.tsx","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","60","e621e10732196cf8a927cf20bc233985da2797d55d65c12d1aa0cc056942c892"
"10","apps/web/src/assets/hero.png","Artefacto de spike","Spike histórico reemplazable","No aplica","apps/web/src/assets/hero.png","No aplica","Conservado; no evaluado como implementación de referencia","D-06; fuera de conformidad funcional G1–G8","13057","881ffbcaafc212e49addad08846a5b82761355fa20624253af3477ba33262c5c"
